timestamp,spo2,pr
1773652405.485806,97,94
1773652405.5461,97,93
1773652405.66626,97,93
1773652405.753029,97,93
1773652405.935769,97,93
1773652405.9384341,97,93
1773652406.025821,97,93
1773652406.1458912,97,93
1773652406.267692,97,93
1773652406.326644,97,93
1773652406.445816,97,93
1773652406.596148,97,93
1773652406.6558342,97,93
1773652406.745982,97,93
1773652406.83785,97,93
1773652406.95369,97,93
1773652407.046008,97,93
1773652407.135846,97,93
1773652407.225806,97,93
1773652407.347858,97,93
1773652407.4677382,97,93
1773652407.5265632,97,93
1773652407.645856,97,93
1773652407.735351,97,93
1773652407.855872,97,93
1773652407.9458702,97,92
1773652408.035836,97,92
1773652408.125758,97,92
1773652408.245379,97,92
1773652408.335732,97,92
1773652408.426353,97,92
1773652408.545653,97,92
1773652408.6958332,97,92
1773652408.7255979,97,92
1773652408.845782,97,92
1773652408.9361532,97,92
1773652409.057589,97,92
1773652409.145816,97,92
1773652409.235809,97,92
1773652409.325669,97,92
1773652409.447825,97,92
1773652409.5636091,97,91
1773652409.626692,97,91
1773652409.746371,97,91
1773652409.865792,97,91
1773652409.955828,97,91
1773652410.045865,97,91
1773652410.137953,97,91
1773652410.2860868,97,91
1773652410.346072,97,91
1773652410.4379451,97,91
1773652410.555851,97,91
1773652410.677889,97,91
1773652410.735886,97,91
1773652410.8558311,97,91
1773652410.946412,97,91
1773652411.067043,97,91
1773652411.155828,97,90
1773652411.245923,97,90
1773652411.335907,97,90
1773652411.4559,97,90
1773652411.547868,97,90
1773652411.637949,97,90
1773652411.755836,97,90
1773652411.876069,97,90
1773652411.9360409,97,90
1773652412.0553741,97,90
1773652412.148136,97,90
1773652412.267049,97,90
1773652412.355851,97,90
1773652412.445868,97,90
1773652412.5359209,97,90
1773652412.6566021,97,90
1773652412.745868,97,89
1773652412.835907,97,89
1773652412.956473,97,89
1773652413.07601,97,89
1773652413.1378748,97,89
1773652413.2566662,97,89
1773652413.3460429,97,89
1773652413.465915,97,89
1773652413.555939,97,89
1773652413.646116,97,89
1773652413.7679381,97,89
1773652413.855819,97,89
1773652413.945896,97,88
1773652414.065894,97,88
1773652414.187928,97,88
1773652414.276178,97,88
1773652414.366053,97,88
1773652414.460243,97,88
1773652414.545869,97,88
1773652414.665982,97,88
1773652414.7558599,97,88
1773652414.845936,97,88
1773652414.9958909,97,88
1773652415.08599,97,88
1773652415.14591,97,87
1773652415.2658901,97,87
1773652415.3566651,97,87
1773652415.475897,97,87
1773652415.5660532,97,87
1773652415.655863,97,87
1773652415.7478971,97,87
1773652415.953065,97,87
1773652415.954294,97,87
1773652416.073492,97,87
1773652416.253533,97,87
1773652416.287541,97,87
1773652416.348066,97,86
1773652416.465929,97,86
1773652416.586041,97,86
1773652416.676028,97,86
1773652416.7679539,97,86
1773652417.033273,97,86
1773652417.093473,97,86
1773652417.094452,97,86
1773652417.186016,97,86
1773652417.364398,97,86
1773652417.366665,97,86
1773652417.4879081,97,86
1773652417.5761359,97,86
1773652417.693582,97,86
1773652417.755979,97,86
1773652417.906107,97,86
1773652417.966114,97,86
1773652418.083134,97,86
1773652418.176009,97,86
1773652418.2958982,97,86
1773652418.473296,97,86
1773652418.474518,97,86
1773652418.5660632,97,86
1773652418.685878,97,86
1773652418.803442,97,86
1773652418.865932,97,86
1773652418.986002,97,86
